,FullNameElement,Element,AtomicMass,FirstIonizationEnergy,AtomicRadius,Density,ElectronAffinity,FusionHeat,ThermalConductivity,Valence
0,hydrogen,H,1.00794,1311.3,53,0.0899,74.3,0.5579999999999999,0.1805,1
1,helium,He,4.0026019999999995,2361.3,31,0.1785,1.5,0.02,0.1513,0
2,lithium,Li,6.941,519.9,167,535.0,61.1,3.0,85.0,1
3,beryllium,Be,9.012182000000001,898.8,112,1848.0,1.5,7.95,190.0,2
4,boron,B,10.811,800.2,87,2460.0,28.2,50.0,27.0,3
5,carbon,C,12.0107,1085.7,67,2260.0,155.4,105.0,140.0,4
6,nitrogen,N,14.0067,1401.5,56,1.251,8.5,0.36,0.025830000000000002,3
7,oxygen,O,15.9994,1313.1,48,1.429,142.5,0.222,0.02658,2
8,fluorine,F,18.998403200000002,1680.0,42,1.696,329.5,0.26,0.0277,1
9,neon,Ne,20.1791,2079.4,38,0.9,1.5,0.34,0.0491,0
10,sodium,Na,22.98976928,495.6,190,968.0,54.3,2.6,140.0,1
11,magnesium,Mg,24.305,737.3,145,1738.0,1.5,8.7,160.0,2
12,aluminum,Al,26.9815386,577.2,118,2700.0,44.0,10.7,235.0,3
13,silicon,Si,28.0855,786.0,111,2330.0,135.1,50.2,150.0,4
14,phosphorus,P,30.973762,1011.2,98,1823.0,72.5,0.64,0.23600000000000002,5
15,sulfur,S,32.065,999.0,87,1960.0,201.5,1.73,0.205,6
16,chlorine,Cl,35.453,1254.9,79,3.214,350.5,3.2,0.0089,5
17,argon,Ar,39.948,1519.6,71,1.784,1.5,1.18,0.01772,0
18,potassium,K,39.0983,418.5,243,856.0,49.9,2.33,100.0,1
19,calcium,Ca,40.078,589.4,194,1550.0,3.87,8.54,200.0,2
20,scandium,Sc,44.955912,630.8,184,2985.0,19.6,16.0,16.0,3
21,titanium,Ti,47.867,657.8,176,4507.0,9.1,18.7,22.0,4
22,vanadium,V,50.9415,650.1,171,6110.0,52.1,22.8,31.0,5
23,chromium,Cr,51.9961,652.4,166,7190.0,65.8,20.5,94.0,6
24,manganese,Mn,54.938044999999995,716.8,161,7470.0,1.5,13.2,7.7,4
25,iron,Fe,55.845,759.1,156,7874.0,17.2,13.8,79.0,3
26,cobalt,Co,58.933195,758.1,152,8900.0,65.2,16.2,100.0,4
27,nickel,Ni,58.6934,736.2,149,8908.0,113.5,17.2,91.0,2
28,copper,Cu,63.54600000000001,745.0,145,8960.0,119.9,13.1,400.0,2
29,zinc,Zn,65.38,905.8,142,7140.0,1.5,7.35,120.0,2
30,gallium,Ga,69.723,578.7,136,5904.0,30.4,5.59,29.0,3
31,germanium,Ge,72.63,760.0,125,5323.0,120.5,31.8,60.0,4
32,arsenic,As,74.9216,946.2,114,5727.0,79.5,27.7,50.0,5
33,selenium,Se,78.96,940.4,103,4819.0,196.5,5.4,0.52,6
34,bromine,Br,79.904,1142.0,94,3120.0,326.1,5.8,0.12,5
35,krypton,Kr,83.79799999999999,1350.0,87,3.75,1.5,1.64,0.00943,2
36,rubidium,Rb,85.4678,402.8,265,1532.0,48.4,2.19,58.0,1
37,strontium,Sr,87.62,549.0,219,2630.0,6.53,8.0,35.0,2
38,yttrium,Y,88.90585,615.4,212,4472.0,31.1,11.4,17.0,3
39,zirconium,Zr,91.22399999999999,659.7,206,6511.0,42.6,21.0,23.0,4
40,niobium,Nb,92.90638,663.6,198,8570.0,87.6,26.8,54.0,5
41,molybdenum,Mo,95.96,684.8,190,10280.0,73.4,36.0,139.0,6
42,technetium,Tc,98.0,702.2,183,11500.0,54.5,23.0,51.0,6
43,ruthenium,Ru,101.07,710.3,178,12370.0,102.8,25.7,120.0,6
44,rhodium,Rh,102.9055,719.5,173,12450.0,111.2,21.7,150.0,6
45,palladium,Pd,106.42,803.5,169,12023.0,55.2,16.7,71.0,4
46,silver,Ag,107.8682,730.5,165,10490.0,127.1,11.3,430.0,1
47,cadmium,Cd,112.411,867.2,161,8650.0,1.5,6.3,96.0,2
48,indium,In,114.818,558.0,156,7310.0,30.4,3.26,82.0,3
49,tin,Sn,118.71,708.2,145,7310.0,108.8,7.0,67.0,4
50,antimony,Sb,121.76,833.3,133,6697.0,104.7,19.7,24.0,5
51,tellurium,Te,127.6,869.0,123,6240.0,191.7,17.5,3.0,6
52,iodine,I,126.90446999999999,1008.3,115,4940.0,296.7,7.76,0.449,7
53,xenon,Xe,131.293,1170.0,108,5.9,1.5,2.3,0.00565,6
54,cesium,Cs,132.9054519,375.5,298,1879.0,47.0,2.09,36.0,1
55,barium,Ba,137.327,502.5,253,3510.0,15.45,8.0,18.0,2
56,lanthanum,La,138.90547,541.1,195,6146.0,49.5,6.3,13.0,3
57,cerium,Ce,140.116,540.1,185,6689.0,51.5,5.5,11.0,4
58,praseodymium,Pr,140.90765,526.6,247,6640.0,51.5,6.9,13.0,4
59,neodymium,Nd,144.24200000000002,531.5,206,7010.0,51.5,7.1,17.0,3
60,promethium,Pm,145.0,536.0,205,7264.0,51.5,7.7,15.0,3
61,samarium,Sm,150.36,540.1,238,7353.0,51.5,8.5,13.0,3
62,europium,Eu,151.964,546.9,231,5244.0,51.5,9.3,14.0,3
63,gadolinium,Gd,157.25,594.2,233,7901.0,51.5,10.0,11.0,3
64,terbium,Tb,158.92535,569.0,225,8219.0,51.5,10.8,11.0,3
65,dysprosium,Dy,162.5,567.0,228,8551.0,51.5,11.1,11.0,3
66,holmium,Ho,164.93032,574.0,226,8795.0,51.5,17.0,16.0,3
67,erbium,Er,167.25900000000001,581.0,226,9066.0,51.5,19.9,15.0,3
68,thulium,Tm,168.93421,589.0,222,9320.0,51.5,16.8,17.0,3
69,ytterbium,Yb,173.054,603.0,222,6570.0,51.5,7.7,39.0,3
70,lutetium,Lu,174.9668,513.0,217,9841.0,51.5,22.0,16.0,3
71,hafnium,Hf,178.49,575.2,208,13310.0,1.5,25.5,23.0,4
72,tantalum,Ta,180.94788,760.1,200,16650.0,32.5,36.0,57.0,5
73,tungsten,W,183.84,769.7,193,19250.0,80.1,35.0,170.0,6
74,rhenium,Re,186.207,759.1,188,21020.0,16.0,33.0,48.0,7
75,osmium,Os,190.23,819.8,185,22590.0,107.6,31.0,87.0,6
76,iridium,Ir,192.217,868.1,180,22560.0,152.5,26.0,150.0,6
77,platinum,Pt,195.084,868.1,177,21450.0,206.8,20.0,71.0,6
78,gold,Au,196.966569,889.3,174,19300.0,224.3,12.5,320.0,5
79,mercury,Hg,200.59,1006.0,171,13534.0,1.5,2.29,8.3,2
80,thallium,Tl,204.3833,588.9,156,11850.0,20.7,4.2,46.0,3
81,lead,Pb,207.2,715.2,154,11340.0,36.6,4.77,35.0,4
82,bismuth,Bi,208.9804,702.9,143,9780.0,92.7,10.9,8.0,5
83,polonium,Po,209.0,813.1,135,9196.0,184.8,13.0,,6
84,astatine,At,210.0,916.3,127,,271.6,6.0,2.0,7
85,radon,Rn,222.0,1036.5,120,9.73,1.5,3.0,0.00361,6
